"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%)
"전체",소계,4458,20.8,13.4,8.5,13.8,28.9,11.2,2.9,0.5,7434,35.0,15.4,10.3,14.1,18.0,5.3,1.7,0.1,8294,36.5,15.0,9.2,14.7,17.9,5.6,1.0,-
"성별",남,2376,21.8,12.8,8.8,14.2,27.8,11.2,2.9,0.4,3872,35.4,16.2,10.3,13.6,17.8,4.9,1.7,0.2,4284,36.7,15.8,9.3,13.8,18.1,5.0,1.3,-
"성별",여,2082,19.6,14.0,8.1,13.4,30.2,11.1,3.0,0.6,3562,34.6,14.6,10.3,14.7,18.3,5.8,1.7,0.0,4010,36.2,14.1,9.2,15.7,17.7,6.3,0.6,-
"연령",만10대미만,81,22.4,18.5,10.3,5.8,16.0,22.5,4.5,0.0,173,45.2,19.2,5.4,6.7,21.0,2.4,0.0,0.0,174,33.2,21.9,7.2,13.2,19.6,3.8,1.1,0.0
"연령",만10-19세,502,34.5,12.6,12.3,11.1,19.9,6.3,2.0,1.3,825,45.9,16.0,10.3,10.3,14.3,1.7,1.2,0.2,880,50.0,14.3,11.0,10.5,11.9,2.0,0.4,0.0
"연령",만20-29세,1022,27.8,13.3,9.4,13.2,30.3,4.7,1.1,0.1,1378,45.9,17.4,9.1,9.1,17.6,0.8,0.2,0.0,1381,51.0,14.5,8.2,11.1,14.1,1.0,0.1,0.0
"연령",만30-39세,979,17.5,13.3,9.5,18.7,26.7,11.0,3.4,0.0,1420,32.9,15.9,11.0,15.4,18.6,4.3,1.5,0.5,1390,35.4,16.0,11.8,16.8,15.1,4.6,0.3,0.0
"연령",만40-49세,868,14.9,14.4,6.9,14.7,32.9,12.5,3.1,0.6,1481,30.1,14.4,11.4,17.5,17.3,7.8,1.5,0.0,1586,33.3,15.7,8.3,13.6,20.1,7.9,1.2,0.0
"연령",만50-59세,684,16.9,12.9,5.7,11.2,32.2,16.6,3.4,1.0,1373,27.1,13.7,10.7,16.8,19.2,10.0,2.5,0.0,1581,29.6,13.4,8.1,17.5,20.4,8.9,2.0,0.1
"연령",만60-69세,274,10.0,12.5,6.0,10.4,29.8,23.8,7.5,0.0,666,28.4,15.4,9.6,15.4,20.0,6.7,4.6,0.0,1026,25.1,15.8,9.6,18.2,22.7,7.0,1.4,0.1
"연령",만70세이상,49,12.8,9.6,7.4,9.8,38.5,11.7,4.0,6.2,119,32.3,9.8,7.7,16.1,23.9,5.7,4.6,0.0,275,28.7,12.5,8.3,14.4,24.2,9.9,1.8,0.1
"월평균소득",소득없음,1538,27.5,14.1,8.5,11.6,25.4,9.6,2.6,0.7,2477,43.5,13.3,10.1,11.8,15.7,4.3,1.3,0.1,2631,44.3,14.2,9.1,13.4,14.1,4.3,0.7,-
"월평균소득",50만원미만,106,27.9,24.8,4.9,3.0,23.2,12.4,2.5,1.2,138,54.8,9.2,3.5,9.4,14.8,3.7,4.6,0.0,176,39.3,7.2,10.2,11.3,21.1,8.5,2.4,0.0
"월평균소득",50-100만원미만,137,27.7,6.2,21.0,8.7,26.4,5.5,2.1,2.4,222,29.5,12.2,8.4,9.0,32.2,6.1,2.8,0.0,318,37.9,11.9,8.1,9.2,27.0,5.7,0.2,0.0
"월평균소득",100-200만원미만,800,13.9,11.8,7.1,13.3,33.1,15.8,4.9,0.1,1120,30.2,11.5,10.8,14.4,23.9,7.4,1.8,0.0,1094,26.1,14.1,9.3,17.7,24.7,6.6,1.5,-
"월평균소득",200-300만원미만,1081,16.0,12.6,9.0,18.4,30.1,10.8,2.9,0.2,1961,27.9,20.0,10.2,17.4,17.4,5.6,1.5,0.0,2118,34.5,17.7,10.1,16.4,14.6,5.7,1.0,0.0
"월평균소득",300-400만원미만,505,17.3,15.2,8.6,15.4,31.3,10.1,2.0,0.1,1026,30.6,16.4,12.2,16.5,17.8,4.9,1.6,0.0,1326,32.3,15.4,9.2,14.5,21.1,6.8,0.7,0.0
"월평균소득",400-500만원미만,173,22.2,11.1,2.9,14.4,34.1,12.9,2.2,0.2,266,35.2,19.8,10.0,11.1,16.5,6.5,1.0,0.0,358,34.7,14.6,7.6,14.5,20.6,7.4,0.6,0.0
"월평균소득",500만원이상,118,21.5,14.8,9.7,12.8,26.8,10.3,1.7,2.3,224,41.0,15.6,8.6,10.3,11.5,4.6,5.2,3.1,272,37.9,12.8,7.5,12.4,21.4,4.2,3.4,0.5
