title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
고요의 바다(The Silent Sea)	2021	TV	15세이상관람가	['스릴러', 'SF']	['한국']	['배두나', '공유', '이준', '김선영', '이무생', '허성태', '이성욱']	['최항용']		['넷플릭스']
돈 룩 업(Don't Look Up)	2021	movie	15세이상관람가	['코미디']	['미국']	['레오나르도 디카프리오 ', '제니퍼 로렌스', '롭 모건', '조나 힐', '마크 라이런스 ', '타일러 페리', '티모시 샬라메']	['아담 맥케이']	139	['넷플릭스']
설강화(Snowdrop)	2021	TV	15세이상관람가	['드라마']	['한국']	['정해인', '지수', '유인나', '장승조', '윤세아', '김혜윤', '정유진']	['조현탁']		['디즈니+']
나 홀로 집에(Home Alone)	1990	movie	전체관람가	['코미디', '어드벤처(모험)', '가족']	['미국']	['맥컬리 컬킨 ', '조 페시', '다니엘 스턴 ', '존 허드', '로버츠 블로썸', '캐서린 오하라', '안젤라 고덜즈']	['크리스 콜럼버스']	105	['디즈니+']
매트릭스(The Matrix)	1999	movie	12세이상관람가	['액션', 'SF']	['미국']	['키아누 리브스 ', '로렌스 피시번 ', '캐리 앤 모스 ', '휴고 위빙', '글로리아 포스터 ', '조 판토리아노']	['릴리 워쇼스키', '라나 워쇼스키']	136	['웨이브', '티빙', '왓챠', '쿠팡플레이']
기적(Miracle)	2021	movie	12세이상관람가	['드라마']	['한국']	['박정민', '이성민', '임윤아', '이수경', '김강훈', '정문성', '김동현']	['이장훈']	117	['넷플릭스', '티빙']
엔칸토: 마법의 세계(Encanto)	2021	movie	전체관람가	['코미디', '어드벤처(모험)', '애니메이션']	['미국', '콜롬비아']	['스테파니 비트리즈', '존 레귀자모', '다이앤 게레로', '제시카 대로우', '앤지 세페다', '윌머 발더라마']	['재러드 부시', '바이론 하워드']	109	['디즈니+']
그 해 우리는(Our Beloved Summer)	2021	TV	15세이상관람가	['멜로/로맨스']	['한국']	['김다미', '최우식', '김성철', '노정의', '박진주', '조복래']	['김윤진', '이단']		['넷플릭스', '웨이브']
스파이더맨(Spider-Man)	2002	movie	12세이상관람가	['액션', '스릴러', '어드벤처(모험)']	['미국']	['토비 맥과이어 ', '윌렘 대포', '커스틴 던스트', '제임스 프랭코 ', '클리프 로버트슨', '로즈마리 해리스 ', 'J.K. 시몬스 ']	['샘 레이미']	121	['넷플릭스', '웨이브', '왓챠', '쿠팡플레이', 'seezn']
불가살(Bulgasal: Immortal Souls)	2021	TV	15세이상관람가	['드라마']	['한국']	['이진욱', '권나라', '이준', '공승연', '정진영', '박명신', '김우석']	['장영우']		['넷플릭스', '티빙']
모가디슈(Escape from Mogadishu)	2021	movie	15세이상관람가	['드라마', '액션']	['한국']	['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식', '김재화']	['류승완']	121	['넷플릭스', '티빙']
스파이더맨: 파 프롬 홈(Spider-Man: Far From Home)	2019	movie	12세이상관람가	['코미디', '액션', '어드벤처(모험)', 'SF']	['미국']	['톰 홀랜드', '젠데이아 콜먼', '사무엘 L. 잭슨', '코비 스멀더스', '존 파브로', '마리사 토메이', '제이크 질렌할']	['존 왓츠']	129	['넷플릭스', '왓챠', 'seezn (더빙)', 'seezn']
옷소매 붉은 끝동(The Red Sleeve)	2021	TV	15세이상관람가	['드라마']	['한국']	['준호', '이세영', '강훈', '이덕화', '박지영', '장희진', '장혜진']	['정지인']		['웨이브', '쿠팡플레이']
인셉션(Inception)	2010	movie	12세이상관람가	['드라마', '스릴러', '어드벤처(모험)', 'SF']	['미국']	['와타나베 켄  ', '레오나르도 디카프리오 ', '마리옹 꼬띠아르', '조셉 고든 레빗', '엘리엇 페이지', '톰 하디', '킬리언 머피 ']	['크리스토퍼 놀란']	147	['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이']
크루엘라(Cruella)	2020	movie	12세이상관람가	['코미디']	['미국']	['엠마 스톤', '엠마 톰슨', '마크 스트롱', '폴 월터 하우저 ', '에밀리 비샴', '조엘 프라이', '커비 하월-밥티스트']	['크레이그 질레스피']	133	['디즈니+']
귀멸의 칼날: 환락의 거리편(Demon Slayer: Kimetsu no Yaiba Yuukaku-hen)	2021	TV	청소년관람불가	['애니메이션']	['일본']	['하나에 나츠키', '키토 아카리', '시모노 히로', '마츠오카 요시츠구', '코니시 카츠유키']	['소토자키 하루오']		['웨이브', '티빙', '왓챠', '라프텔']
킹스맨: 골든 서클(Kingsman: The Golden Circle)	2017	movie	청소년관람불가	['코미디', '액션', '어드벤처(모험)']	['미국', '영국']	['콜린 퍼스', '줄리안 무어 ', '태런 에저튼', '마크 스트롱', '할리 베리', '엘튼 존', '채닝 테이텀']	['매튜 본']	141	['디즈니+']
킹스맨 : 시크릿 에이전트(Kingsman: The Secret Service)	2014	movie	청소년관람불가	['액션', '스릴러']	['미국', '영국']	['콜린 퍼스', '태런 에저튼', '사무엘 L. 잭슨', '마이클 케인', '마크 스트롱', '잭 데이븐포트', '소피아 부텔라']	['매튜 본']	128	['디즈니+']
캐롤(Carol)	2015	movie	청소년관람불가	['드라마', '멜로/로맨스']	['미국', '영국', '프랑스']	['케이트 블란쳇 ', '루니 마라', '카일 챈들러 ', '제이크 레이시', '사라 폴슨', '존 마가로', '코리 마이클 스미스']	['토드 헤인즈']	118	['넷플릭스', '왓챠']
러브 레터(Love Letter)	1995	movie	전체관람가	['드라마', '멜로/로맨스']	['일본']	['나카야마 미호', '토요카와 에츠시', '한 분샤쿠', '시노하라 카츠유키', '사카이 미키', '카시와바라 타카시', '스즈키 란란']	['이와이 슌지']	116	['왓챠']
배드 앤 크레이지(Bad and Crazy)	2021	TV	15세이상관람가	['드라마']	['한국']	['이동욱', '위하준', '한지은', '차학연', '강애심', '김대곤', '임기홍']	['유선동']		['티빙']
해리 포터와 마법사의 돌(Harry Potter And The Sorcerer's Stone)	2001	movie	전체관람가	['액션', '어드벤처(모험)', '가족', '판타지']	['미국']	['다니엘 래드클리프', '루퍼트 그린트', '엠마 왓슨', '로비 콜트레인', '톰 펠튼', '매튜 루이스', '리차드 그리피스 ']	['크리스 콜럼버스']	152	['웨이브', '왓챠', '쿠팡플레이']
