title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
우리도 사랑일까(Take This Waltz)	2011	movie	청소년관람불가	['드라마', '코미디']	['캐나다']	['미셸 윌리엄스', '세스 로건 ', '루크 커비', '라울 바네자', '맷 바램', '다니엘 밀러', '다이안 다퀼라']	['사라 폴리']	116	['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이']
파운더(The Founder)	2016	movie	15세이상관람가	['드라마']	['미국']	['마이클 키튼', '닉 오퍼맨', '존 캐럴 린치', '린다 카델리니', '비제이 노박', '로라 던', '저스틴 렌델 브룩']	['존 리 행콕']	115	['웨이브', '티빙', '왓챠', '쿠팡플레이']
브루클린(Brooklyn)	2016	movie	12세이상관람가	['드라마', '멜로/로맨스']	['미국']	['시얼샤 로넌 ', '도널 글리슨', '에모리 코헨', '줄리 월터스', '짐 브로드벤트 ', '마이클 제겐', '에밀리 벳 리카드']	['존 크로울리']	111	['디즈니+']
헌터 킬러(Hunter Killer)	2018	movie	15세이상관람가	['액션', '스릴러']	['미국']	['제라드 버틀러', '게리 올드만', '커먼 ', '미카엘 니크비스트 ', '제인 홀츠', '린다 카델리니', '마이클 트러코']	['도노반 마시']	121	['넷플릭스', '웨이브', '티빙', '왓챠']
마담 뺑덕(Scarlet Innocence)	2014	movie	전체관람가	['멜로/로맨스']	['한국']	['박소영', '정우성', '이솜', '김희원', '이창훈', '홋타 신조', '박서연']	['임필성']	112	['넷플릭스', '티빙', '왓챠', '쿠팡플레이']
메리에겐 뭔가 특별한 것이 있다(There's Something About Mary)	1998	movie	청소년관람불가	['코미디', '멜로/로맨스']	['미국']	['카메론 디아즈 ', '맷 딜런', '벤 스틸러 ', '리 에반스', '크리스 엘리엇', '린 샤예 ']	['피터 패럴리', '바비 패럴리']	119	['디즈니+']
부기 나이트(Boogie Nights)	1997	movie	청소년관람불가	['드라마']	['미국']	['필립 베이커 홀', '마크 월버그 ', '필립 세이모어 호프만 ', '줄리안 무어 ', '토마스 제인', '돈 치들', '리키 제이']	['폴 토마스 앤더슨']	154	['왓챠']
몬스터 하우스(Monster House)	2006	movie	전체관람가	['코미디', '공포(호러)', '어드벤처(모험)', '애니메이션']	['미국']	['밋첼 머소 ', '샘 러너', '스티브 부세미 ', '스펜서 로크', '매기 질렌할', '제이슨 리', '우디 슐츠 ']	['길 키넌']	92	['왓챠', '쿠팡플레이', 'seezn (자막)']
약속의 네버랜드 1기(THE PROMISED NEVERLAND)	2019	TV	청소년관람불가	['애니메이션']	['일본']	['모로호시 스미레', '우치다 마아야', '이세 마리야', '우에키 신에이', '린', '카야노 아이', '카이다 유코']	['칸베 마모루']		['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이', '라프텔']
주노(Juno)	2007	movie	12세이상관람가	['드라마', '코미디']	['미국', '캐나다']	['엘리엇 페이지', '마이클 세라', '제니퍼 가너', '제이슨 베이트먼 ', '앨리슨 제니', 'J.K. 시몬스 ', '올리비아 썰비 ']	['제이슨 라이트맨']	95	['왓챠', '쿠팡플레이']
성난 황소(Raging Bull)	1980	movie	15세이상관람가	['드라마']	['미국']	['로버트 드 니로', '조 페시', '캐시 모리어티 ']	['마틴 스코세이지']	129	['왓챠']
레전드(Legend)	2015	movie	청소년관람불가	['드라마', '액션', '범죄']	['영국', '프랑스']	['톰 하디', '태런 에저튼', '에밀리 브라우닝', '폴 앤더슨', '크리스토퍼 에클리스턴 ', '콜린 모건', '타라 피츠제랄드']	['브라이언 헬겔랜드']	132	['넷플릭스', '티빙']
라이프(LIFE)	2018	TV	15세이상관람가	['드라마']	['한국']	['이동욱', '조승우', '원진아', '이규형', '유재명', '문소리']	['홍종찬', '임현욱']		['넷플릭스', '티빙', 'seezn']
클로이(Chloe)	2010	movie	청소년관람불가	['드라마', '스릴러']	['프랑스']	['줄리안 무어 ', '리암 니슨', '아만다 사이프리드 ', '니나 도브레브', '맥스 티에리옷']	['아톰 에고이안']	95	['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이']
무브 투 헤븐: 나는 유품 정리사입니다(Move to Heaven)	2021	TV	청소년관람불가	['드라마']	['한국']	['이제훈', '탕준상', '홍승희', '수영', '윤지혜', '정석용', '정영주']	['김성호']		['넷플릭스']
바람의 검심(Rurouni Kenshin)	2012	movie	청소년관람불가	['드라마', '액션', '서사']	['일본']	['사토 타케루', '아오이 유우', '타케이 에미', '킷카와 코지', '아오키 무네타카', '아야노 고', '수도 겐키']	['오오토모 케이시']	134	['넷플릭스']
쩨쩨한 로맨스(Petty Romance)	2010	movie	청소년관람불가	['코미디', '멜로/로맨스']	['한국']	['이선균', '최강희', '오정세', '류현경', '송유하', '백도빈', '박성일']	['김정훈']	118	['웨이브', '티빙', 'seezn']
오렌지 이즈 더 뉴 블랙 시즌 1(Orange Is the New Black)	2013	TV	청소년관람불가	['코미디', '범죄']	['미국']	['테일러 쉴링', '케이트 멀그루', '로라 프레폰', '제이슨 빅스 ', '나타샤 리온', '마이클 하니', '우조 압두바 ']	['젠지 코핸']		['넷플릭스']
짱구는 못말려 : 부리부리 왕국의 보물()	1994	movie	전체관람가	['코미디', '어드벤처(모험)', '애니메이션']	['일본']	[]	['혼고 미츠루']	87	['왓챠', '라프텔']
아스달 연대기(Arthdal Chronicles)	2019	TV	15세이상관람가	['드라마', '액션', '어드벤처(모험)', '판타지']	['한국']	['장동건', '송중기', '김지원', '김옥빈', '김의성', '조성하', '이도경']	['김원석']		['넷플릭스', '티빙']
씬 시티: 다크히어로의 부활(Sin City: A dame to kill for)	2013	movie	청소년관람불가	['액션', '스릴러', '범죄']	['미국']	['조셉 고든 레빗', '에바 그린', '제시카 알바', '브루스 윌리스', '미키 루크 ', '조슈 브롤린']	['프랭크 밀러', '로버트 로드리게즈']	102	['웨이브', '티빙', '쿠팡플레이', 'seezn']
하이 스쿨 뮤지컬 2(High School Musical 2)	2007	movie	전체관람가	['드라마', '코미디', '가족']	['미국']	[]	['케니 오르테가']	111	['디즈니+']
진정령(The Untamed)	2019	TV	15세이상관람가	['드라마']	['중국']	['샤오잔', '왕이보', '맹자의']	['정위문', '진가림']		['웨이브', '티빙', '왓챠', '쿠팡플레이']
아이 인 더 스카이(Eye in the Sky)	2015	movie	12세이상관람가	['스릴러', '전쟁']	['영국']	['헬렌 미렌', '아론 폴', '앨런 릭먼 ', '바크하드 압디', '개빈 후드', '이언 글렌 ', '제레미 노덤']	['개빈 후드']	102	['웨이브', '티빙', '왓챠']
청춘기록(Record Of Youth)	2020	TV	15세이상관람가	['드라마']	['한국']	['박보검', '박소담', '변우석', '하희라', '신애라', '신동미', '이창훈']	['안길호']		['넷플릭스', '티빙']
이블 데드(The Evil Dead)	1981	movie	청소년관람불가	['공포(호러)']	['미국']	['브루스 캠벨', '엘렌 샌드웨이스', '리처드 드매닌코', '벳시 베이커', '테레사 틸리']	['샘 레이미']	85	['웨이브', '왓챠']
어른들은 몰라요(Young Adult Matters)	2020	movie	청소년관람불가	['드라마']	['한국']	['이유미', '안희연', '신햇빛', '이환', '박강섭', '방은정', '허준석']	['이환']	127	['넷플릭스', '웨이브', '티빙', 'seezn']
이스케이프 플랜(Escape Plan)	2013	movie	청소년관람불가	['액션', '스릴러']	['미국']	['아놀드 슈왈제네거', '실베스터 스탤론', '제임스 카비젤', '에이미 라이언 ', '빈센트 도노프리오 ', '데이빗 조셉 마르티네즈', '페런 테이어']	['미카엘 하프스트롬']	115	['넷플릭스', '왓챠']
명탐정 코난: 천공의 난파선(Detective Conan: The Lost Ship In The Sky)	2010	movie	전체관람가	['어드벤처(모험)', '가족', '애니메이션']	['일본']	['타카야마 미나미', '야마자키 와카나', '야마구치 캇페이', '코야마 리키야', '하야시바라 메구미', '호리카와 료']	['야마모토 야스이치로']	103	['티빙 (더빙)']
봄 여름 가을 겨울 그리고 봄(Spring, Summer, Fall, Winter And Spring)	2003	movie	15세이상관람가	['드라마']	['한국']	['오영수', '차수아', '김기덕', '서재경', '김영민', '김종호', '김정영']	['김기덕']	106	['왓챠']
궁(Princess Hours)	2006	TV	15세이상관람가	['코미디', '멜로/로맨스']	['한국']	['윤은혜', '주지훈', '김정훈', '송지효', '윤유선', '김혜자', '심혜진']	['황인뢰']		['웨이브', '왓챠', '쿠팡플레이', 'seezn']
365: 운명을 거스르는 1년(365: Repeat the year)	2020	TV	15세이상관람가	['드라마']	['한국']	['이준혁', '남지현', '김지수', '양동근', '이시아', '윤주상', '임하룡']	['김경희']		['웨이브', '왓챠']
슬로우 웨스트(Slow West)	2015	movie	15세이상관람가	['액션', '스릴러', '서부극(웨스턴)']	['영국', '뉴질랜드']	['마이클 패스벤더 ', '벤 멘델슨 ', '로리 맥칸', '매들린 새미', '켄 블래크번', '칼라니 퀘이포', '코디 스밋 맥피 ']	['존 맥클린']	84	['티빙', '왓챠']
식샤를 합시다(Let's Eat)	2013	TV	15세이상관람가	['드라마']	['한국']	['이수경', '윤두준', '윤소희', '심형탁', '이도연', '장원영', '정수영']	['박준화']		['티빙']
뮌헨(Munich)	2005	movie	15세이상관람가	['드라마', '스릴러', '범죄']	['미국']	['다니엘 크레이그', '에릭 바나 ', '시아란 힌즈', '마티유 카소비츠', '한스 지쉴러', '아예렛 주러', '제프리 러쉬']	['스티븐 스필버그']	163	['왓챠']
