title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
화이트 라이언 찰리(Mia and the White Lion)	2018	movie	전체관람가	['가족']	['독일', '프랑스', '남아프리카공화국']	['멜라니 로랑']	['쥘 드 메스트르']	97	['티빙']
로 앤 오더 성범죄전담반 시즌 1(Law & Order: Special Victims Unit)	1999	TV	15세이상관람가	['드라마', '미스터리', '범죄']	['미국']	['머리슈커 하기테이', '아이스-티', '댄 플로렉', '리차드 벨저', '크리스토퍼 멜로니 ']	['데이빗 플랫', '장 드 세곤작']		['웨이브']
로 앤 오더 성범죄전담반 시즌 19(Law & Order: Special Victims Unit)	2017	TV	15세이상관람가	['드라마', '미스터리', '범죄']	['미국']	['머리슈커 하기테이', '아이스-티', '크리스토퍼 멜로니 ', '타마라 투니']	['데이빗 플랫', '장 드 세곤작']		['웨이브']
마요치키!()	2010	TV	청소년관람불가	['애니메이션']	['일본']	[]	['카와구치 케이이치로']		['웨이브', '왓챠', '라프텔']
더 마블러스 미세스 메이즐 시즌 2(The Marvelous Mrs. Maisel)	2018	TV		['드라마', '코미디']	['미국', '미정']	['레이첼 브로스나한 ', '알렉스 볼스타인', '마이클 제겐', '마린 힌클']	['에이미 셔먼 팔라디노', '다니엘 팔라디노', '스콧 엘리스', '제이미 배빗']		['아마존 프라임 비디오']
황금나침반 시즌 2(His Dark Materials)	2020	TV		['드라마', '어드벤처(모험)', '가족']	['영국', '미정']	['다프네 킨', '킷 코너', '아미르 윌슨', '앤드류 스캇', '루스 윌슨']	['제이미 차일즈']		['웨이브']
안녕 자두야 2기()	2012	TV	전체관람가	['애니메이션']	['한국']	[]	[]		['웨이브', '왓챠', '쿠팡플레이']
검찰 측의 증인(The Witness for the Prosecution)	2016	TV	전체관람가	['드라마', '미스터리', '범죄']	['영국']	['빌리 하울', '킴 캐트럴', '모니카 돌란', '안드레아 라이즈보로', '토비 존스 ', '데이빗 헤이그', '폴 레디']	['줄리언 재롤드']		['웨이브', '티빙', '왓챠']
낚시 바보 일지 ~신입 사원 하마사키 덴스케~ 시즌 2()	2017	TV	15세이상관람가	['드라마']	['일본']	['하마다 가쿠', '히로세 아리스 ', '니시다 토시유키', '후키코시 미츠루', '이치게 요시에']	['아사하라 유조']		['웨이브', '티빙', '왓챠']
다이아몬드 에이스 1기()	2013	TV	12세이상관람가	['애니메이션']	['일본']	[]	['마스하라 미츠유키']		['넷플릭스', '티빙', '라프텔']
던전에서 만남을 추구하면 안 되는 걸까 OVA()	2016	TV	청소년관람불가	['애니메이션']	['일본']	[]	['야마카와 요시노부']		['티빙']
신 도라에몽 1기()	2005	TV	전체관람가	['애니메이션']	['일본']	[]	['젠 소이치로']		['웨이브', '티빙', '왓챠', '쿠팡플레이', '라프텔']
신 도라에몽 5기()	2007	TV	전체관람가	['애니메이션']	['일본']	[]	['젠 소이치로']		['웨이브', '티빙', '왓챠', '라프텔']
신 도라에몽 7기()	2011	TV	전체관람가	['애니메이션']	['일본']	[]	['젠 소이치로']		['웨이브', '왓챠', '라프텔']
토치우드 시즌 1(Torchwood Season 1)	2006	TV	청소년관람불가	['드라마', 'SF']	['영국']	[]	[]		['웨이브', '쿠팡플레이']
고검기담: 절대검의 부활(Swords of Legends)	2014	TV	15세이상관람가	['드라마']	['중국']	['이역봉', '양미 ', '마천우']	[]	60	['웨이브', '티빙', '왓챠']
라바 아일랜드 시즌 1(Larva Island Season 1)	2018	TV	전체관람가	['애니메이션']	['한국']	[]	[]		['넷플릭스']
영광의 재인()	2011	TV	전체관람가	['드라마']	['한국']	['천정명', '박민영']	[]		['웨이브']
비기 : 할 말이 있어 (Biggie: I Got A Story To Tell)	2021	movie	15세이상관람가	['다큐멘터리']	['미국']	[]	['에멧 맬로이 ']	98	['넷플릭스']
오늘부터 계약연애(Be My Boyfriend)	2021	TV		['드라마']	['한국', '미정']	['이시우', '신현승', '유주', '임성균', '김병관', '정보민']	[]		['왓챠 (감독판)']
죠죠의 기묘한 모험 2기()	2014	TV	청소년관람불가	['애니메이션']	['일본']	[]	['츠다 나오카츠']		['넷플릭스']
죠죠의 기묘한 모험 4기()	2019	TV	청소년관람불가	['애니메이션']	['일본']	[]	['츠다 나오카츠']		['넷플릭스']
